case,vertices,seed,status,solved,nodes,backtracks,elapsed_seconds,edges,labels
fiveleaf2-1-1-1-1-1-1,7,,solved,1,13,6,0.000000,0-1 0-2 0-3 1-4 1-5 1-6,0 6 4 2 1 3 5
fiveleaf2-1-1-1-1-1-2,8,,solved,1,23,15,0.000525,0-1 0-2 0-3 1-4 1-5 1-6 6-7,0 7 5 2 3 6 1 4
fiveleaf2-1-1-1-1-2-2,9,,solved,1,58,49,0.001291,0-1 0-2 0-3 1-4 1-5 5-6 1-7 7-8,0 8 4 3 2 1 6 7 5
fiveleaf2-1-1-1-2-2-2,10,,solved,1,43,33,0.001012,0-1 0-2 0-3 1-4 4-5 1-6 6-7 1-8 8-9,0 9 6 4 1 3 2 7 8 5
fiveleaf2-1-1-2-1-1-1,8,,solved,1,39,31,0.000998,0-1 0-2 0-3 3-4 1-5 1-6 1-7,0 7 2 5 6 1 3 4
fiveleaf2-1-1-2-1-1-2,9,,solved,1,39,30,0.001008,0-1 0-2 0-3 3-4 1-5 1-6 1-7 7-8,0 8 4 3 5 2 7 1 6
fiveleaf2-1-1-2-1-2-2,10,,solved,1,17,7,0.000000,0-1 0-2 0-3 3-4 1-5 1-6 6-7 1-8 8-9,0 9 3 6 4 8 1 5 2 7
fiveleaf2-1-1-2-2-2-2,11,,solved,1,167,156,0.002457,0-1 0-2 0-3 3-4 1-5 5-6 1-7 7-8 1-9 9-10,0 10 7 6 8 1 4 2 3 5 9
fiveleaf2-1-2-2-1-1-1,9,,solved,1,37,28,0.001003,0-1 0-2 2-3 0-4 4-5 1-6 1-7 1-8,0 8 7 4 1 5 2 3 6
fiveleaf2-1-2-2-1-1-2,10,,solved,1,327,317,0.004722,0-1 0-2 2-3 0-4 4-5 1-6 1-7 1-8 8-9,0 9 2 7 4 5 3 6 1 8
fiveleaf2-1-2-2-1-2-2,11,,solved,1,165,154,0.003367,0-1 0-2 2-3 0-4 4-5 1-6 1-7 7-8 1-9 9-10,0 10 6 4 5 9 7 1 8 2 3
fiveleaf2-1-2-2-2-2-2,12,,solved,1,374,362,0.006479,0-1 0-2 2-3 0-4 4-5 1-6 6-7 1-8 8-9 1-10 10-11,0 11 8 10 6 9 1 5 2 7 4 3
fiveleaf2-2-1-1-1-1-1,8,,solved,1,212,204,0.002312,0-2 2-1 0-3 0-4 1-5 1-6 1-7,3 0 6 1 2 7 5 4
fiveleaf2-2-1-1-1-1-2,9,,solved,1,112,103,0.002492,0-2 2-1 0-3 0-4 1-5 1-6 1-7 7-8,4 0 8 2 5 7 3 6 1
fiveleaf2-2-1-1-1-2-2,10,,solved,1,33,23,0.000000,0-2 2-1 0-3 0-4 1-5 1-6 6-7 1-8 8-9,3 0 9 6 5 1 8 4 7 2
fiveleaf2-2-1-1-2-2-2,11,,solved,1,11,0,0.000000,0-2 2-1 0-3 0-4 1-5 5-6 1-7 7-8 1-9 9-10,4 0 10 1 3 9 5 8 6 7 2
fiveleaf2-2-1-2-1-1-1,9,,solved,1,10,1,0.000000,0-2 2-1 0-3 0-4 4-5 1-6 1-7 1-8,4 0 8 1 2 3 7 6 5
fiveleaf2-2-1-2-1-1-2,10,,solved,1,28,18,0.001917,0-2 2-1 0-3 0-4 4-5 1-6 1-7 1-8 8-9,3 0 9 6 1 2 7 5 8 4
fiveleaf2-2-1-2-1-2-2,11,,solved,1,11,0,0.000000,0-2 2-1 0-3 0-4 4-5 1-6 1-7 7-8 1-9 9-10,4 0 10 6 1 2 7 9 5 8 3
fiveleaf2-2-1-2-2-2-2,12,,solved,1,19,7,0.001176,0-2 2-1 0-3 0-4 4-5 1-6 6-7 1-8 8-9 1-10 10-11,4 0 11 3 6 1 10 7 9 5 8 2
fiveleaf2-2-2-2-1-1-1,10,,solved,1,10,0,0.000000,0-2 2-1 0-3 3-4 0-5 5-6 1-7 1-8 1-9,4 0 9 1 5 2 3 8 7 6
