feature,total,robust_hard,conditional_rate,baseline_rate,enrichment
fiveleaf2e,1914,12,0.006269592476489028,0.005113999573833369,1.2259665621734586
fiveleaf3e,2779,12,0.004318100035984167,0.005113999573833369,0.8443684778697373
bridge_le3,2915,14,0.004802744425385935,0.005113999573833369,0.939136649514008
bridge_eq3,166,0,0.0,0.005113999573833369,0.0
both_short_le3,1133,5,0.00441306266548985,0.005113999573833369,0.8629376287143277
central_odd,1366,6,0.004392386530014641,0.005113999573833369,0.8588945827232797
central_even,1413,6,0.004246284501061571,0.005113999573833369,0.8303255484784147
terminal_min_le2,1689,2,0.0011841326228537595,0.005113999573833369,0.23154726662719555
balanced,677,4,0.005908419497784343,0.005113999573833369,1.15534219596258
unbalanced_ge9,1222,7,0.0057283142389525366,0.005113999573833369,1.1201241134751772
middle_leaf_short,514,2,0.0038910505836575876,0.005113999573833369,0.7608625162127107
terminal_min_ge3,3004,22,0.007323568575233023,0.005113999573833369,1.4320628051486906
