interaction,order,total,robust_hard,conditional_rate,baseline_rate,enrichment
central_even AND balanced AND middle_leaf_short,3,32,1,0.03125,0.005113999573833369,6.110677083333333
balanced AND middle_leaf_short AND terminal_min_ge3,3,43,1,0.023255813953488372,0.005113999573833369,4.547480620155039
bridge_le3 AND balanced AND middle_leaf_short,3,45,1,0.022222222222222223,0.005113999573833369,4.345370370370371
central_odd AND balanced AND terminal_min_ge3,3,138,2,0.014492753623188406,0.005113999573833369,2.8339371980676327
both_short_le3 AND unbalanced_ge9 AND middle_leaf_short,3,70,1,0.014285714285714285,0.005113999573833369,2.7934523809523806
fiveleaf3e AND balanced AND terminal_min_ge3,3,286,4,0.013986013986013986,0.005113999573833369,2.734848484848485
unbalanced_ge9 AND middle_leaf_short AND terminal_min_ge3,3,73,1,0.0136986301369863,0.005113999573833369,2.6786529680365296
central_even AND balanced AND terminal_min_ge3,3,148,2,0.013513513513513514,0.005113999573833369,2.642454954954955
both_short_le3 AND unbalanced_ge9 AND terminal_min_ge3,3,226,3,0.01327433628318584,0.005113999573833369,2.5956858407079646
balanced AND middle_leaf_short,2,77,1,0.012987012987012988,0.005113999573833369,2.5395021645021645
fiveleaf3e AND balanced AND middle_leaf_short,3,77,1,0.012987012987012988,0.005113999573833369,2.5395021645021645
both_short_le3 AND central_odd AND balanced,3,78,1,0.01282051282051282,0.005113999573833369,2.506944444444444
bridge_le3 AND central_odd AND balanced,3,157,2,0.012738853503184714,0.005113999573833369,2.490976645435244
central_odd AND unbalanced_ge9 AND middle_leaf_short,3,80,1,0.0125,0.005113999573833369,2.4442708333333334
bridge_le3 AND unbalanced_ge9 AND middle_leaf_short,3,88,1,0.011363636363636364,0.005113999573833369,2.222064393939394
central_even AND middle_leaf_short AND terminal_min_ge3,3,89,1,0.011235955056179775,0.005113999573833369,2.1970973782771535
bridge_le3 AND balanced AND terminal_min_ge3,3,289,3,0.010380622837370242,0.005113999573833369,2.029844290657439
bridge_le3 AND middle_leaf_short AND terminal_min_ge3,3,195,2,0.010256410256410256,0.005113999573833369,2.0055555555555555
both_short_le3 AND central_odd AND unbalanced_ge9,3,198,2,0.010101010101010102,0.005113999573833369,1.9751683501683504
both_short_le3 AND central_odd AND terminal_min_ge3,3,405,4,0.009876543209876543,0.005113999573833369,1.931275720164609
fiveleaf3e AND bridge_le3 AND balanced,3,311,3,0.00964630225080386,0.005113999573833369,1.8862540192926045
central_even AND balanced,2,217,2,0.009216589861751152,0.005113999573833369,1.8022273425499231
fiveleaf3e AND central_even AND balanced,3,217,2,0.009216589861751152,0.005113999573833369,1.8022273425499231
fiveleaf3e AND balanced,2,436,4,0.009174311926605505,0.005113999573833369,1.793960244648318
bridge_le3 AND central_odd AND terminal_min_ge3,3,656,6,0.009146341463414634,0.005113999573833369,1.7884908536585364
central_odd AND balanced,2,219,2,0.0091324200913242,0.005113999573833369,1.7857686453576862
fiveleaf3e AND central_odd AND balanced,3,219,2,0.0091324200913242,0.005113999573833369,1.7857686453576862
balanced AND terminal_min_ge3,2,441,4,0.009070294784580499,0.005113999573833369,1.773620559334845
fiveleaf2e AND unbalanced_ge9 AND terminal_min_ge3,3,332,3,0.009036144578313253,0.005113999573833369,1.7669427710843373
central_odd AND unbalanced_ge9 AND terminal_min_ge3,3,227,2,0.00881057268722467,0.005113999573833369,1.722834067547724
fiveleaf2e AND bridge_le3 AND terminal_min_ge3,3,686,6,0.008746355685131196,0.005113999573833369,1.7102769679300291
bridge_le3 AND central_even AND middle_leaf_short,3,116,1,0.008620689655172414,0.005113999573833369,1.6857040229885056
fiveleaf3e AND unbalanced_ge9 AND middle_leaf_short,3,119,1,0.008403361344537815,0.005113999573833369,1.6432072829131652
unbalanced_ge9 AND middle_leaf_short,2,119,1,0.008403361344537815,0.005113999573833369,1.6432072829131652
bridge_le3 AND unbalanced_ge9 AND terminal_min_ge3,3,481,4,0.008316008316008316,0.005113999573833369,1.6261261261261262
both_short_le3 AND middle_leaf_short AND terminal_min_ge3,3,121,1,0.008264462809917356,0.005113999573833369,1.616046831955923
both_short_le3 AND central_odd AND middle_leaf_short,3,122,1,0.00819672131147541,0.005113999573833369,1.6028005464480874
fiveleaf2e AND unbalanced_ge9,2,496,4,0.008064516129032258,0.005113999573833369,1.5769489247311828
both_short_le3 AND unbalanced_ge9,2,374,3,0.008021390374331552,0.005113999573833369,1.5685160427807487
bridge_le3 AND both_short_le3 AND unbalanced_ge9,3,374,3,0.008021390374331552,0.005113999573833369,1.5685160427807487
fiveleaf3e AND both_short_le3 AND unbalanced_ge9,3,374,3,0.008021390374331552,0.005113999573833369,1.5685160427807487
fiveleaf2e AND terminal_min_ge3,2,1274,10,0.007849293563579277,0.005113999573833369,1.5348639455782311
both_short_le3 AND balanced AND terminal_min_ge3,3,128,1,0.0078125,0.005113999573833369,1.5276692708333333
unbalanced_ge9 AND terminal_min_ge3,2,769,6,0.007802340702210663,0.005113999573833369,1.5256827048114434
terminal_min_ge3,1,3004,22,0.007323568575233023,0.005113999573833369,1.4320628051486906
bridge_le3 AND balanced,2,410,3,0.007317073170731708,0.005113999573833369,1.4307926829268294
bridge_le3 AND terminal_min_ge3,2,1978,14,0.007077856420626896,0.005113999573833369,1.384015840916751
central_odd AND terminal_min_ge3,2,858,6,0.006993006993006993,0.005113999573833369,1.3674242424242424
fiveleaf3e AND central_odd AND terminal_min_ge3,3,858,6,0.006993006993006993,0.005113999573833369,1.3674242424242424
fiveleaf3e AND middle_leaf_short AND terminal_min_ge3,3,286,2,0.006993006993006993,0.005113999573833369,1.3674242424242424
middle_leaf_short AND terminal_min_ge3,2,286,2,0.006993006993006993,0.005113999573833369,1.3674242424242424
fiveleaf3e AND terminal_min_ge3,2,1730,12,0.006936416184971098,0.005113999573833369,1.3563583815028901
both_short_le3 AND central_odd,2,580,4,0.006896551724137931,0.005113999573833369,1.3485632183908045
bridge_le3 AND both_short_le3 AND central_odd,3,580,4,0.006896551724137931,0.005113999573833369,1.3485632183908045
fiveleaf3e AND both_short_le3 AND central_odd,3,580,4,0.006896551724137931,0.005113999573833369,1.3485632183908045
central_even AND terminal_min_ge3,2,872,6,0.006880733944954129,0.005113999573833369,1.3454701834862386
